Country;CountryID;Continent;Gross national income per capita (PPP international $);Population (in thousands) total;Population annual growth rate (%);Population in urban areas (%);"Population living below the poverty line (% living on &lt; US$1 per day)";Population median age (years);Population proportion over 60 (%);Population proportion under 15 (%);Age-standardized mortality rate for cancer (per 100 000 population);Age-standardized mortality rate for cardiovascular diseases (per 100 000 population);Age-standardized mortality rate for injuries (per 100 000 population);Age-standardized mortality rate for non-communicable diseases (per 100 000 population);Cell_phones_per_100_people;Cell_phones_total;Infant_mortality_rate;Malnutrition_weight_for_age
Guinea-Bissau;73;3;460;1646;3;30;;16;5;48;159;449;138;883;7.1;1275;121;21.9
Guyana;74;5;3410;739;-0.1;28;;27;9;31;86;526;97;822;37.5;143945;47;11.9
Haiti;75;5;1070;9446;1.6;39;53.9;21;6;38;112;402;38;786;5.9;400000;63;18.9
Honduras;76;5;3420;6969;2;47;14.9;20;6;39;139;348;66;758;17.8;707201;24;8.6
Hong Kong China;77;6;;;;;;;;;;;;;123.5;7130099.5;;
Hungary;78;2;16970;10058;-0.3;67;2;39;21;15;201;364;67;695;92.3;8727188;6;
Iceland;79;2;33740;298;0.9;93;;35;16;22;136;164;34;385;103.4;291372;2;
India;80;7;2460;1151751;1.5;29;34.3;24;8;33;109;428;117;750;8.2;4.73E+07;59;43.5
Indonesia;81;6;3310;228864;1.2;49;7.5;27;8;28;132;361;87;727;21.1;3.00E+07;28;24.4
Iran (Islamic Republic of);82;1;9800;70270;1.2;67;;24;6;28;113;466;133;742;10.4;4300000;;
Iraq;83;1;;28506;1.8;67;;19;5;41;112;508;141;855;2.2;574000;37;12.9
Ireland;84;2;34730;4221;1.9;61;;34;15;21;151;214;35;484;102.9;3780000;4;
Israel;85;1;23840;6810;1.7;92;;29;13;28;133;136;30;399;112.4;7187500;4;
Italy;86;2;28970;58779;0.2;68;;42;26;14;134;174;29;403;123.1;6.28E+07;4;
Jamaica;87;5;7050;2699;0.6;53;2;25;10;31;151;326;12;672;105.8;2200000;26;3.1
Japan;88;6;32840;127953;0;66;;43;27;14;119;106;39;287;75.3;9.15E+07;3;
Jordan;89;1;4820;5729;3.3;83;2;21;5;37;144;384;102;703;55;1594513;22;3.6
Kazakhstan;90;2;8700;15314;0.7;58;2;29;10;24;167;713;160;1052;36.4;2758940;27;3.8
Kenya;91;3;1470;36553;2.6;21;;18;4;43;139;401;95;782;13.5;2546157;79;16.5
Kiribati;92;6;6230;94;1.7;42;;;6;32;52;273;22;773;0.61;526;48;
Korea Dem Rep;93;6;;23708;0.4;62;;32;14;24;102;371;65;691;;0;42;8.9
Korea Rep;94;6;22990;48050;0.4;81;;36;14;18;169;186;67;537;79.4;3.66E+07;5;
Kuwait;95;1;48310;2779;2.9;98;;29;3;24;78;309;34;512;88.6;2000000;10;
Kyrgyzstan;96;2;1790;5259;1.1;36;2;24;7;30;106;602;90;924;10.3;300000;;8.2
Lao People's Democratic Republic;97;6;1740;5759;1.7;21;27;20;5;39;150;476;142;904;10.8;204191;;36.4
Latvia;98;2;14840;2289;-0.6;68;2;40;22;14;156;482;132;733;81.1;1536712;8;
Lebanon;99;3;9600;4055;1.1;87;;27;10;28;90;453;98;742;27.8;888000;27;
